run,iteration,fitness,sure_generated
28,12,0.01632774993777275,0
29,12,5.486689360623132e-07,0
30,12,7.761197593936231e-06,0
1,13,3.888309947797097e-05,0
2,13,1.2401030289765913e-05,0
3,13,9.426580618310254e-06,0
4,13,1.0627085430314764e-05,0
5,13,3.887574621330714e-06,0
6,13,3.0727384000783786e-05,0
7,13,2.0098761524423026e-05,0
8,13,1.1349551641615108e-05,0
9,13,8.043801244639326e-06,0
10,13,1.6753838281147182e-05,0
11,13,1.8378043023403734e-05,0
12,13,1.015053112496389e-05,0
13,13,3.6146375350654125e-05,0
14,13,1.7104015569202602e-05,0
15,13,7.415447726089042e-06,0
16,13,3.345527147757821e-05,0
17,13,0.06269349157810211,0
18,13,8.471032742818352e-06,0
19,13,1.8643735302248388e-06,0
20,13,4.799970611202298e-06,0
21,13,9.780815889826044e-05,0
22,13,2.2549467757926323e-05,0
23,13,2.9658691346412525e-05,0
24,13,1.8947472199215554e-05,0
25,13,5.6182739172072615e-06,0
26,13,1.538530341349542e-05,0
27,13,1.8660283558347146e-06,0
28,13,0.03628881648182869,0
29,13,1.050913124345243e-05,0
30,13,1.2038759450661018e-05,0
1,14,5.016249997424893e-05,0
2,14,3.832584297924768e-06,0
3,14,1.735596015350893e-05,0
4,14,1.5003999578766525e-05,0
5,14,1.0057951840281021e-05,0
6,14,3.7182035157456994e-05,0
7,14,9.84853340924019e-06,0
8,14,8.4689027062268e-06,0
9,14,2.9367583920247853e-06,0
10,14,6.7308751567907166e-06,0
11,14,1.9489631085889414e-05,0
12,14,1.5871579307713546e-05,0
13,14,4.6393994125537574e-05,0
14,14,5.937967216596007e-06,0
15,14,8.504285688104574e-06,0
16,14,2.1162344637559727e-05,0
17,14,0.04181797429919243,0
18,14,1.0942614608211443e-05,0
19,14,3.578173846108257e-06,0
20,14,6.263091108849039e-06,0
21,14,2.430080894555431e-05,0
22,14,3.8305704947561026e-05,0
23,14,2.7979160222457722e-05,0
24,14,1.1909581189684104e-05,0
25,14,3.4376369058009004e-06,0
26,14,4.388618253869936e-05,0
27,14,3.5446216770651517e-06,0
28,14,0.02912963554263115,0
29,14,3.43696738127619e-05,0
30,14,4.503440777625656e-06,0
1,15,2.329517519683577e-05,0
2,15,4.870775683230022e-06,0
3,15,2.014039273490198e-05,0
4,15,9.823156688071322e-06,0
5,15,5.579862772719935e-06,0
6,15,7.831033872207627e-05,0
7,15,1.3254593795863912e-05,0
8,15,1.7140921045211144e-05,0
9,15,5.723285084968666e-06,0
10,15,1.044286364049185e-05,0
11,15,1.693882222753018e-05,0
12,15,2.5146511688944884e-05,0
13,15,5.094287189422175e-05,0
14,15,3.877673589158803e-05,0
15,15,5.328285624273121e-06,0
16,15,1.4669170923298225e-05,0
17,15,0.06009446829557419,0
18,15,2.660910695340135e-06,0
19,15,3.792255938606104e-06,0
20,15,6.646485417149961e-06,0
21,15,2.3286685973289423e-05,0
22,15,3.400166315259412e-05,0
23,15,3.244863137297216e-06,0
24,15,1.4735923286934849e-05,0
25,15,2.0115165170864202e-05,0
26,15,6.19225756963715e-05,0
27,15,5.703466285922332e-06,0
28,15,0.038293495774269104,0
29,15,3.527949229464866e-05,0
30,15,1.1611220543272793e-05,0
1,16,3.674530307762325e-05,0
2,16,3.5370553632674273e-06,0
3,16,1.4873937288939487e-05,0
4,16,9.878807759378105e-06,0
5,16,1.392220838170033e-05,0
6,16,3.093091072514653e-05,0
7,16,3.168972034472972e-05,0
8,16,2.3046715796226636e-05,0
9,16,1.2640253771678545e-05,0
10,16,1.4889566955389455e-05,0
11,16,2.6476107450434938e-05,0
12,16,2.7415944714448415e-05,0
13,16,4.1376904846401885e-05,0
14,16,3.8511116144945845e-05,0
15,16,6.7168366513215005e-06,0
16,16,4.431919660419226e-05,0
17,16,0.05883577838540077,0
18,16,1.0195753020525444e-05,0
19,16,4.1155549297400285e-06,0
20,16,9.29500129132066e-06,0
21,16,8.570635691285133e-05,0
22,16,3.755250509129837e-05,0
23,16,1.528448410681449e-05,0
24,16,9.932801731338259e-06,0
25,16,1.337904450338101e-05,0
26,16,6.478169234469533e-05,0
27,16,6.4995560933311936e-06,0
28,16,0.018943028524518013,0
29,16,3.441061926423572e-05,0
30,16,1.7702579498291016e-05,0
1,17,6.033635600033449e-06,0
2,17,5.48369007447036e-06,0
3,17,1.67229136422975e-05,0
4,17,6.16393026575679e-06,0
5,17,4.4806756704929285e-06,0
6,17,0.00014046148862689734,0
7,17,1.7974691218114458e-05,0
8,17,7.587745585624361e-06,0
9,17,7.511313924624119e-06,0
10,17,2.0978812244720757e-05,0
11,17,2.939367914223112e-05,0
12,17,2.2115289539215155e-05,0
13,17,2.6688461730373092e-05,0
14,17,4.6065830247243866e-05,0
15,17,5.88981947657885e-06,0
16,17,1.9838157641061116e-06,0
17,17,0.06206457316875458,0
18,17,2.6790442007040838e-06,0
19,17,3.4881315968959825e-06,0
20,17,8.645602974866051e-06,0
21,17,7.940881914692e-05,0
22,17,2.9283386538736522e-05,0
23,17,1.6051648344728164e-05,0
24,17,2.5220097086275928e-05,0
25,17,2.0130069970036857e-05,0
26,17,2.541221874707844e-05,0
27,17,6.568270237039542e-06,0
28,17,0.03830043599009514,0
29,17,3.044443656108342e-05,0
30,17,1.2299934496695641e-05,0
1,18,3.6584315239451826e-05,0
2,18,1.603050077392254e-05,0
3,18,2.043794847850222e-05,0
4,18,1.3110820873407647e-05,0
5,18,4.368209374661092e-06,0
6,18,0.0003683630784507841,0
7,18,2.1441466742544435e-05,0
8,18,5.758520728704752e-06,0
9,18,9.442364898859523e-06,0
10,18,2.7754564143833704e-05,0
